"InstTerm","ADCClsTerm","InstDataPoint","Class","ADCClsID","Course","ADCClsShortTitle","ADCClsPrefix","ADCClsNumber","ADCClsSection","ADCClsStartDate","ADCClsEndDate","ADCClsCurrentStatus","ADCClsIMethod","ADCClsCUCredits","ADCClsCEUnits","ADCClsCapacity","ADCClsActiveStuCt","ClsAvailSeats","ADCClsAcadLevel","ADCClsFTEContactHrs","ADCClsFTEStuCt","ADCClsTotalFTE","ADCClsMeetDays01","ADCClsMeetDays02","ADCClsMeetDays03","ADCClsMeetDays04","ADCClsMeetDays05","ADCClsMeetDays06","ADCClsMeetDays07","ADCClsMeetDays08","ADCClsMeetDays09","ADCClsMeetDays10","ADCClsMeetDays11","ADCClsMeetDays12","ADCClsMeetDays13","ADCClsMeetDays14","ADCClsMeetDays15","ADCClsMeetDays16","ADCClsMeetDays17","ADCClsMeetDays18","ADCClsMeetDays19","ADCClsMeetDays20","ADCClsMeetDays21","ADCClsMeetDays22","ADCClsMeetDays23","ADCClsMeetDays24","ADCClsMeetDays25","ADCClsMeetDays26","ADCClsMeetDays27","ADCClsMeetDays28","ADCClsMeetDays29","ADCClsMeetDays30","ADCClsMeetDays31","ADCClsMeetDays32","ADCClsMeetDays33","ADCClsMeetDays34","ADCClsMeetDays35","ADCClsMeetDays36","ADCClsMeetDays37","ADCClsMeetDays38","ADCClsMeetDays39","ADCClsMeetDays40","ADCClsStartTime01","ADCClsStartTime02","ADCClsStartTime03","ADCClsStartTime04","ADCClsStartTime05","ADCClsStartTime06","ADCClsStartTime07","ADCClsStartTime08","ADCClsStartTime09","ADCClsStartTime10","ADCClsStartTime11","ADCClsStartTime12","ADCClsStartTime13","ADCClsStartTime14","ADCClsStartTime15","ADCClsStartTime16","ADCClsStartTime17","ADCClsStartTime18","ADCClsStartTime19","ADCClsStartTime20","ADCClsStartTime21","ADCClsStartTime22","ADCClsStartTime23","ADCClsStartTime24","ADCClsStartTime25","ADCClsStartTime26","ADCClsStartTime27","ADCClsStartTime28","ADCClsStartTime29","ADCClsStartTime30","ADCClsStartTime31","ADCClsStartTime32","ADCClsStartTime33","ADCClsStartTime34","ADCClsStartTime35","ADCClsStartTime36","ADCClsStartTime37","ADCClsStartTime38","ADCClsStartTime39","ADCClsStartTime40","ADCClsEndTime01","ADCClsEndTime02","ADCClsEndTime03","ADCClsEndTime04","ADCClsEndTime05","ADCClsEndTime06","ADCClsEndTime07","ADCClsEndTime08","ADCClsEndTime09","ADCClsEndTime10","ADCClsEndTime11","ADCClsEndTime12","ADCClsEndTime13","ADCClsEndTime14","ADCClsEndTime15","ADCClsEndTime16","ADCClsEndTime17","ADCClsEndTime18","ADCClsEndTime19","ADCClsEndTime20","ADCClsEndTime21","ADCClsEndTime22","ADCClsEndTime23","ADCClsEndTime24","ADCClsEndTime25","ADCClsEndTime26","ADCClsEndTime27","ADCClsEndTime28","ADCClsEndTime29","ADCClsEndTime30","ADCClsEndTime31","ADCClsEndTime32","ADCClsEndTime33","ADCClsEndTime34","ADCClsEndTime35","ADCClsEndTime36","ADCClsEndTime37","ADCClsEndTime38","ADCClsEndTime39","ADCClsEndTime40","ADCClsCampus01","ADCClsCampus02","ADCClsCampus03","ADCClsCampus04","ADCClsCampus05","ADCClsCampus06","ADCClsCampus07","ADCClsCampus08","ADCClsCampus09","ADCClsCampus10","ADCClsCampus11","ADCClsCampus12","ADCClsCampus13","ADCClsCampus14","ADCClsCampus15","ADCClsCampus16","ADCClsCampus17","ADCClsCampus18","ADCClsCampus19","ADCClsCampus20","ADCClsCampus21","ADCClsCampus22","ADCClsCampus23","ADCClsCampus24","ADCClsCampus25","ADCClsCampus26","ADCClsCampus27","ADCClsCampus28","ADCClsCampus29","ADCClsCampus30","ADCClsCampus31","ADCClsCampus32","ADCClsCampus33","ADCClsCampus34","ADCClsCampus35","ADCClsCampus36","ADCClsCampus37","ADCClsCampus38","ADCClsCampus39","ADCClsCampus40","ADCClsBldg01","ADCClsBldg02","ADCClsBldg03","ADCClsBldg04","ADCClsBldg05","ADCClsBldg06","ADCClsBldg07","ADCClsBldg08","ADCClsBldg09","ADCClsBldg10","ADCClsBldg11","ADCClsBldg12","ADCClsBldg13","ADCClsBldg14","ADCClsBldg15","ADCClsBldg16","ADCClsBldg17","ADCClsBldg18","ADCClsBldg19","ADCClsBldg20","ADCClsBldg21","ADCClsBldg22","ADCClsBldg23","ADCClsBldg24","ADCClsBldg25","ADCClsBldg26","ADCClsBldg27","ADCClsBldg28","ADCClsBldg29","ADCClsBldg30","ADCClsBldg31","ADCClsBldg32","ADCClsBldg33","ADCClsBldg34","ADCClsBldg35","ADCClsBldg36","ADCClsBldg37","ADCClsBldg38","ADCClsBldg39","ADCClsBldg40","ADCClsRoom01","ADCClsRoom02","ADCClsRoom03","ADCClsRoom04","ADCClsRoom05","ADCClsRoom06","ADCClsRoom07","ADCClsRoom08","ADCClsRoom09","ADCClsRoom10","ADCClsRoom11","ADCClsRoom12","ADCClsRoom13","ADCClsRoom14","ADCClsRoom15","ADCClsRoom16","ADCClsRoom17","ADCClsRoom18","ADCClsRoom19","ADCClsRoom20","ADCClsRoom21","ADCClsRoom22","ADCClsRoom23","ADCClsRoom24","ADCClsRoom25","ADCClsRoom26","ADCClsRoom27","ADCClsRoom28","ADCClsRoom29","ADCClsRoom30","ADCClsRoom31","ADCClsRoom32","ADCClsRoom33","ADCClsRoom34","ADCClsRoom35","ADCClsRoom36","ADCClsRoom37","ADCClsRoom38","ADCClsRoom39","ADCClsRoom40","ClsFTETier","InstCountry","InstState","InstShortName"
201601,2016CE1,ET,BUS711601,168161,BUS7116,Notary Public I,BUS,7116,01,01/09/16,01/09/16,A,TR,,0.65,30,30,0,CE,6.5,30,0.28,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:30AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:00PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04 - Self Supporting,US,NC,CPCC
201601,2016CE1,ET,BUS711602,168163,BUS7116,Notary Public I,BUS,7116,02,01/13/16,01/13/16,A,TR,,0.65,30,31,-1,CE,6.5,31,0.29,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:30AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:00PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04 - Self Supporting,US,NC,CPCC
201601,2016CE1,ET,BUS711603,168165,BUS7116,Notary Public I,BUS,7116,03,01/20/16,01/20/16,A,TR,,0.65,30,29,1,CE,6.5,29,0.27,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:30AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:00PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04 - Self Supporting,US,NC,CPCC
201601,2016CE1,ET,BUS711604,168166,BUS7116,Notary Public I,BUS,7116,04,01/23/16,01/23/16,C,TR,,0.65,30,0,30,CE,6.5,0,0,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:30AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:00PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04 - Self Supporting,US,NC,CPCC
201601,2016CE1,ET,BUS711605,168168,BUS7116,Notary Public I,BUS,7116,05,01/27/16,01/27/16,A,TR,,0.65,30,29,1,CE,6.5,29,0.27,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:30AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:00PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04 - Self Supporting,US,NC,CPCC
201601,2016CE1,ET,BUS711606,168170,BUS7116,Notary Public I,BUS,7116,06,01/30/16,01/30/16,A,TR,,0.65,30,29,1,CE,6.5,29,0.27,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:30AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:00PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04 - Self Supporting,US,NC,CPCC
201601,2016CE1,ET,BUS711607,168171,BUS7116,Notary Public I,BUS,7116,07,02/03/16,02/03/16,A,TR,,0.65,30,29,1,CE,6.5,29,0.27,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:30AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:00PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04 - Self Supporting,US,NC,CPCC
201601,2016CE1,ET,BUS711608,168172,BUS7116,Notary Public I,BUS,7116,08,02/06/16,02/06/16,A,TR,,0.65,30,30,0,CE,6.5,30,0.28,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:30AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:00PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04 - Self Supporting,US,NC,CPCC
201601,2016CE1,ET,BUS711609,168173,BUS7116,Notary Public I,BUS,7116,09,02/10/16,02/10/16,A,TR,,0.65,30,28,2,CE,6.5,28,0.26,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:30AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:00PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04 - Self Supporting,US,NC,CPCC
201601,2016CE1,ET,BUS711610,168174,BUS7116,Notary Public I,BUS,7116,10,02/13/16,02/13/16,A,TR,,0.65,23,22,1,CE,6.5,22,0.21,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:30AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:00PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04 - Self Supporting,US,NC,CPCC
